id,category,english,korean,grammar_id,grammar_name,structure,difficulty,page,syntax_chunks_eng,syntax_chunks_kor,syntax_roles,role_in_sentence,variation_flags
L05-077,Extra/Extracted,Connect to Literature After You Read 106   Lesson 5 Are You into Books?,106 5과를 읽은 후 문학에 연결하십시오. 책을 좋아하시나요?,,시간의 접속사 / to부정사,When/While + S + V / to + V,중,105,Connect to Literature After You Read 106 |   Lesson 5 Are You into Books?,106 5과를 읽은 후 | 문학에 연결하십시오. 책을 좋아하시나요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-078,Extra/Extracted,"A n amazing s eason U nder t he blue , blue s ky T ime t o say goo dbye to s ummer U nder t he tree w ith red l eaves M y favorite s eason N ice a nd c ool!",놀라운 계절 파란 하늘 아래 여름과 작별 인사를 할 시간 붉은 잎사귀 나무 아래 내가 제일 좋아하는 계절 얼음이 많고 시원해요!,,to부정사 / 현재분사/동명사,to + V / V-ing,중,106,"A n amazing s eason U nder t he blue , blue s ky T ime t o say goo dbye to | s ummer U nder t he tree w ith red l eaves M y favorite s eason N ice a nd c ool!",놀라운 계절 파란 하늘 아래 여름과 작별 인사를 할 시간 | 붉은 잎사귀 나무 아래 내가 제일 좋아하는 계절 얼음이 많고 시원해요!,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-079,Extra/Extracted,A cat live s w ith my family.,고양이가 가족과 함께 살고 있어요.,,일반 문장,-,중,,A cat live s | w ith my family.,고양이가 가족과 | 함께 살고 있어요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-080,Extra/Extracted,He w ashes his fa ce every m orning.He is cute.,그는 매일 아침 세수를 합니다. 그는 귀엽습니다.,,현재분사/동명사,V-ing,중,,He w ashes his fa | ce every m orning.He is cute.,그는 매일 아침 | 세수를 합니다. 그는 귀엽습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-081,Extra/Extracted,He has beautiful black eyes and little ears .He is fast.,그는 아름다운 검은 눈과 작은 귀를 가지고 있습니다. 그는 빠릅니다.,,일반 문장,-,중,106,He has beautiful black eyes | and little ears .He is fast.,그는 아름다운 검은 눈과 작은 | 귀를 가지고 있습니다. 그는 빠릅니다.,Main Clause | Sub Clause,AutoParsed,"has_or_not, verb_of_uncertainty"
L05-082,Extra/Extracted,He jum ps high to catch a butterfly.,그는 나비를 잡기 위해 높이 뛰어올랐습니다.,,to부정사,to + V,중,106,He jum ps high | to catch a butterfly.,그는 나비를 잡기 | 위해 높이 뛰어올랐습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-083,Extra/Extracted,Tom likes m e v ery uch.,Tom은 나를 매우 좋아합니다.,,일반 문장,-,중,,Tom likes m | e v ery uch.,Tom은 나를 | 매우 좋아합니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-084,Extra/Extracted,He always sle in m ed.,그는 항상 m ed에서 잤습니다.,,일반 문장,-,중,,He always sle | in m ed.,그는 항상 | m ed에서 잤습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-085,Extra/Extracted,Jake was late for school because he had missed the bus.,Jake는 버스를 놓쳐서 학교에 지각했습니다.,,이유의 접속사 / 완료시제,Because/Since + S + V / have + p.p.,중,107,Jake was late for school | because he had missed the bus.,Jake는 버스를 | 놓쳐서 학교에 지각했습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-086,Extra/Extracted,"When he got to school, the class had already begun.","그가 학교에 도착했을 때, 수업은 이미 시작되었습니다.",,시간의 접속사 / to부정사,When/While + S + V / to + V,중,107,"When he got to school, | the class had already begun.","그가 학교에 도착했을 | 때, 수업은 이미 시작되었습니다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L05-087,Extra/Extracted,"Bae came back home, she found somebody had opened the kitchen door.",배씨는 집에 돌아왔을 때 누군가 부엌 문을 열어 놓은 것을 발견했다.,,완료시제,have + p.p.,중,107,"Bae came back home, she found | somebody had opened the kitchen door.",배씨는 집에 돌아왔을 때 누군가 | 부엌 문을 열어 놓은 것을 발견했다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-088,Extra/Extracted,It was Uncle Ben that broke Plum's toy.,Plum의 장난감을 깨뜨린 사람은 Ben 삼촌이었습니다.,,접속사/관계대명사 that,that + S + V / N + that,중,107,It was Uncle Ben | that broke Plum's toy.,Plum의 장난감을 깨뜨린 | 사람은 Ben 삼촌이었습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-089,Extra/Extracted,was Judy that lost her wallet on the bus.,버스에서 지갑을 잃어버린 주디였습니다.,,접속사/관계대명사 that / 비교급,that + S + V / N + that / Comparative,중,107,was Judy that lost | her wallet on the bus.,버스에서 지갑을 | 잃어버린 주디였습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-090,Extra/Extracted,her wallet Judy lost on the bus.,그녀의 지갑 Judy는 버스에서 분실되었습니다.,,비교급,Comparative,중,107,her wallet Judy | lost on the bus.,그녀의 지갑 | Judy는 버스에서 분실되었습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-091,Extra/Extracted,on the bus Judy lost her wallet.,버스에서 Judy는 지갑을 잃어버렸습니다.,,비교급,Comparative,중,107,on the bus | Judy lost her wallet.,버스에서 Judy는 | 지갑을 잃어버렸습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-092,Extra/Extracted,Judy lost her wallet on the bus.,Judy는 버스에서 지갑을 잃어버렸습니다.,,비교급,Comparative,중,107,Judy lost her | wallet on the bus.,Judy는 버스에서 | 지갑을 잃어버렸습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-093,Extra/Extracted,108   Lesson 5 Are You into Books?,108 제 5과 당신은 책을 좋아합니까?,,일반 문장,-,중,108,108   Lesson | 5 Are You into Books?,108 제 5과 | 당신은 책을 좋아합니까?,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-094,Extra/Extracted,"They write , fantasies, mysteries, and other kinds of stories.","그들은 환상, 미스터리, 그리고 다른 종류의 이야기를 씁니다.",,비교급,Comparative,중,108,"They write , fantasies, mysteries, | and other kinds of stories.","그들은 환상, 미스터리, 그리고 | 다른 종류의 이야기를 씁니다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L05-095,Extra/Extracted,Designers and try their best to make a good book.,디자이너들은 좋은 책을 만들기 위해 최선을 다합니다.,,to부정사 / 최상급,to + V / Superlative,중,108,Designers and try their best | to make a good book.,디자이너들은 좋은 책을 | 만들기 위해 최선을 다합니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-096,Extra/Extracted,The book is printed at a factory and fi  nally Copies of the book are sent to and bookstores.,책은 공장에서 인쇄되고 최종적으로 책의 사본이 서점으로 보내집니다.,,수동태 / to부정사,be + p.p. / to + V,중,108,The book is printed at a factory and fi  | nally Copies of the book are sent to and bookstores.,책은 공장에서 인쇄되고 최종적으로 | 책의 사본이 서점으로 보내집니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-097,Extra/Extracted,How to Play Romeo and by William Shakespeare /T_h  e Old Man and the by Ernest Hemingway Charlie and the Factory by Roald Dahl /T_h e Games by Suzanne Collins The Lord of the by J.,How to Play Romeo and 작성자: William Shakespeare /T_h e Old Man and the 작성자: Ernest Hemingway Charlie and the Factory 작성자: Roald Dahl /T_he Games 작성자: Suzanne Collins The Lord of the 작성자: J.,,to부정사 / 의문사 구문,to + V / Wh-word,중,109,How to Play Romeo and by William Shakespeare /T_h  e Old Man and the by Ernest Hemingway | Charlie and the Factory by Roald Dahl /T_h e Games by Suzanne Collins The Lord of the by J.,How to Play Romeo and 작성자: William Shakespeare /T_h e Old Man and the 작성자: Ernest Hemingway | Charlie and the Factory 작성자: Roald Dahl /T_he Games 작성자: Suzanne Collins The Lord of the 작성자: J.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-098,Extra/Extracted,Tolkien What is the title?,톨킨 제목이 뭔가요?,,의문사 구문,Wh-word,중,109,Tolkien What | is the title?,톨킨 | 제목이 뭔가요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-099,Extra/Extracted,Dumbledore •Alice •Tinker Bell •White Rabbit •Queen of Hearts •Don Quixote •Sancho Panza •Rocinante •Hamlet •Anne •Diana •Matilda •Marilla •Lestrade •Dr.,덤블도어 •앨리스 •팅커벨 •흰 토끼 •하트의 여왕 •돈키호테 •산초 판자 •로시난테 •햄릿 •앤 •다이애나 •마틸다 •마릴라 •레스트레이드 •Dr.,,비교급,Comparative,중,109,Dumbledore •Alice •Tinker Bell •White Rabbit •Queen of Hearts •Don | Quixote •Sancho Panza •Rocinante •Hamlet •Anne •Diana •Matilda •Marilla •Lestrade •Dr.,덤블도어 •앨리스 •팅커벨 •흰 토끼 •하트의 여왕 •돈키호테 •산초 | 판자 •로시난테 •햄릿 •앤 •다이애나 •마틸다 •마릴라 •레스트레이드 •Dr.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-100,Extra/Extracted,Watson •Miss Marple •Sherlock Holmes Which one is not in the same story?,왓슨 •미스 마플 •셜록 홈즈 다음 중 같은 이야기에 나오지 않는 것은 무엇입니까?,,관계대명사,Relative Pronoun,중,109,Watson •Miss Marple •Sherlock Holmes Which | one is not in the same story?,왓슨 •미스 마플 •셜록 홈즈 다음 | 중 같은 이야기에 나오지 않는 것은 무엇입니까?,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-101,Extra/Extracted,Christmas Carol Animal Farm The Adventures Huckleberry Finn Who wrote the book?,크리스마스 캐럴 동물 농장 모험 허클베리 핀 누가 책을 썼나요?,,관계대명사,Relative Pronoun,중,109,Christmas Carol Animal Farm The Adventures | Huckleberry Finn Who wrote the book?,크리스마스 캐럴 동물 농장 모험 | 허클베리 핀 누가 책을 썼나요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-102,Extra/Extracted,/T_h  e Call of the Wild The Black Cat The Chronicles of Narnia Moby Dick Charlotte’s Web What animals appear in the story?,/T_h e 야생의 부름 검은 고양이 나니아 연대기 모비딕 샬롯의 거미줄 이야기에는 어떤 동물들이 등장하나요?,,의문사 구문,Wh-word,중,109,/T_h  e Call of the Wild The Black Cat The Chronicles | of Narnia Moby Dick Charlotte’s Web What animals appear in the story?,/T_h e 야생의 부름 검은 고양이 나니아 | 연대기 모비딕 샬롯의 거미줄 이야기에는 어떤 동물들이 등장하나요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-103,Extra/Extracted,Have Fun Together 110   Lesson 5 Are You into Books?,함께 즐거운 시간 보내세요 110 제 5과 책을 좋아하시나요?,,비교급 / 사역동사,Comparative / make/have/let + O + V,중,,Have Fun Together 110   | Lesson 5 Are You into Books?,함께 즐거운 시간 보내세요 | 110 제 5과 책을 좋아하시나요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-104,Extra/Extracted,WORDS & EXPRESSIONS Complete the text.,단어 및 표현 텍스트를 완성하세요.,,일반 문장,-,중,110,WORDS & EXPRESSIONS | Complete the text.,단어 및 | 표현 텍스트를 완성하세요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-105,Extra/Extracted,sew rare achieve give up Serah started to 1 clothes for fun.,희귀한 바느질을 포기하고 세라는 재미로 옷 1벌을 시작했습니다.,,일반 문장,-,중,110,sew rare achieve give up Serah | started to 1 clothes for fun.,희귀한 바느질을 포기하고 세라는 | 재미로 옷 1벌을 시작했습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-106,Extra/Extracted,"Making clothes by hand was hard, but she did not 2 .",손으로 옷을 만드는 것이 어려웠지만 그녀는 그렇지 않았습니다. 2 .,,현재분사/동명사,V-ing,중,110,"Making clothes by hand was hard, | but she did not 2 .",손으로 옷을 만드는 것이 어려웠지만 | 그녀는 그렇지 않았습니다. 2 .,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-107,Extra/Extracted,"Before long, her friends wanted to buy her clothes because they were 3 and unique.",얼마 지나지 않아 그녀의 친구들은 그녀의 옷이 3개이고 독특했기 때문에 사고 싶어 했습니다.,,이유의 접속사 / 시간의 접속사,Because/Since + S + V / When/While + S + V,중,110,"Before long, her friends wanted to buy | her clothes because they were 3 and unique.",얼마 지나지 않아 그녀의 친구들은 그녀의 | 옷이 3개이고 독특했기 때문에 사고 싶어 했습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-108,Extra/Extracted,Soon she was able to 4 popularity.,곧 그녀는 인기를 4위까지 올릴 수 있었습니다.,,일반 문장,-,중,110,Soon she was | able to 4 popularity.,곧 그녀는 인기를 | 4위까지 올릴 수 있었습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-109,Extra/Extracted,LISTENING & SPEAKING Listen and role play.,듣기 및 말하기 듣기와 역할극을 해보세요.,,현재분사/동명사,V-ing,중,110,LISTENING & SPEAKING | Listen and role play.,듣기 및 말하기 | 듣기와 역할극을 해보세요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-110,Extra/Extracted,READING Read and answer.,읽기 읽고 대답하세요.,,현재분사/동명사 / 비교급,V-ing / Comparative,중,,READING Read | and answer.,읽기 | 읽고 대답하세요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-111,Extra/Extracted,"Do you enjoy plays, poems, novels, or cartoons?","연극, 시, 소설, 만화를 좋아합니까?",,일반 문장,-,중,110,"Do you enjoy plays, | poems, novels, or cartoons?","연극, 시, | 소설, 만화를 좋아합니까?",Main Clause | Sub Clause,AutoParsed,generic_concept
L05-112,Extra/Extracted,"ⓐ They are different kinds of literature, and people diﬀ  er in which kind ⓑ they prefer.","ⓐ 그것들은 다양한 종류의 문학이고, 사람들은 어떤 종류를 선호하는지가 다릅니다.",,관계대명사 / 비교급,Relative Pronoun / Comparative,중,,"ⓐ They are different kinds of literature, and people | diﬀ  er in which kind ⓑ they prefer.","ⓐ 그것들은 다양한 종류의 문학이고, | 사람들은 어떤 종류를 선호하는지가 다릅니다.",Main Clause | Sub Clause,AutoParsed,"has_or_not, verb_of_uncertainty"
L05-113,Extra/Extracted,"However, all of them allow us to go beyond our own small world where we live.",그러나 그 모든 것들은 우리가 살고 있는 우리 자신의 작은 세계를 넘어설 수 있게 해준다.,,to부정사 / 의문사 구문,to + V / Wh-word,중,,"However, all of them allow us to go | beyond our own small world where we live.",그러나 그 모든 것들은 우리가 살고 있는 | 우리 자신의 작은 세계를 넘어설 수 있게 해준다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-114,Extra/Extracted,"When we read literature, we come across the ideas of great writers who lived long ago.",문학을 읽다 보면 우리는 오래전에 살았던 위대한 작가들의 사상을 접하게 됩니다.,,시간의 접속사 / 관계대명사,When/While + S + V / Relative Pronoun,중,110,"When we read literature, we come across the | ideas of great writers who lived long ago.",문학을 읽다 보면 우리는 오래전에 | 살았던 위대한 작가들의 사상을 접하게 됩니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-115,Extra/Extracted,We can even imagine being someone else or living in a completely diﬀ  erent place.,우리는 다른 사람이 되거나 완전히 다른 곳에 사는 것을 상상할 수도 있습니다.,,조동사 / 현재분사/동명사,Modal + V / V-ing,중,110,We can even imagine being someone else or | living in a completely diﬀ  erent place.,우리는 다른 사람이 되거나 완전히 다른 | 곳에 사는 것을 상상할 수도 있습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-116,Extra/Extracted,", literature opens up for us new worlds that we have never visited before.",", 문학은 우리가 이전에 한 번도 가본 적이 없는 새로운 세계를 열어줍니다.",,시간의 접속사 / 접속사/관계대명사 that,When/While + S + V / that + S + V / N + that,중,110,", literature opens up for us new | worlds that we have never visited before.",", 문학은 우리가 이전에 한 번도 | 가본 적이 없는 새로운 세계를 열어줍니다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L05-117,Extra/Extracted,˃/T_h e y ˄they In short For example On the other hand GRAMMAR & WRITING Complete the sentences.,˃ /T_he y ˄ they In short 예를 들어 반면에 GRAMMAR & WRITING 문장을 완성하세요.,,현재분사/동명사 / 비교급,V-ing / Comparative,중,110,˃/T_h e y ˄they In short For example On | the other hand GRAMMAR & WRITING Complete the sentences.,˃ /T_he y ˄ they In short | 예를 들어 반면에 GRAMMAR & WRITING 문장을 완성하세요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-118,Extra/Extracted, (my mother / the cap / had / bought) 10  I think that I lost it.,(나의 어머니는 / 그 모자를 / 가지고 있었다 / 샀다) 10 나는 그것을 잃어버린 것 같아요.,,접속사/관계대명사 that / 비교급,that + S + V / N + that / Comparative,중,110, (my mother / the cap / had / | bought) 10  I think that I lost it.,(나의 어머니는 / 그 모자를 / 가지고 있었다 | / 샀다) 10 나는 그것을 잃어버린 것 같아요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-119,Extra/Extracted, (was / on / it / the bus) Script Can you recommend a hot dog?,(버스에 있었어 / 버스에 있었어 / 버스에 있었어) 스크립트 핫도그를 추천해 주실 수 있나요?,,조동사,Modal + V,중,110, (was / on / it / the | bus) Script Can you recommend a hot dog?,(버스에 있었어 / 버스에 있었어 / 버스에 | 있었어) 스크립트 핫도그를 추천해 주실 수 있나요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-120,Extra/Extracted,with our milkshake.,우리 밀크셰이크와 함께.,,일반 문장,-,중,110,with | our milkshake.,우리 | 밀크셰이크와 함께.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-121,Extra/Extracted,My mom and I are looking forward to ....,엄마랑 저는 기대하고 있어요....,,현재분사/동명사,V-ing,중,110,My mom and I | are looking forward to ....,엄마랑 저는 | 기대하고 있어요....,Main Clause | Sub Clause,AutoParsed,generic_concept
